4530181	bred	Brandon Edwards
1967733229	HootsuiteAPAC	Hootsuite APAC
17093617	hootsuite	Hootsuite
1413708408	lastmilehealth	Last Mile Health
742994225726423042	TEDxSGWomen	TEDxSingaporeWomen
244471782	TEDxNTU	TEDxNTU
8941152	cerventus	Daniel CerVentus
1482581556	demishassabis	Demis Hassabis
1630609608	GaryRGrayJr	Gary GrayJr
8395672	davechua	davechua
27008284	Jacqui_Hocking	#Documentary
303051376	Chelseagoh	CHELSEA
55872580	hobbitown	Stefanie C
19702200	DanielleHoman	Danielle Homan
2271232526	Explore_SG	Explore Singapore
266972899	Astarhq	A*STAR
132726363	natgallerysg	National Gallery SG
2806693130	AListSG	The A List
20562637	businessinsider	Business Insider
3224616765	techinsider	Tech Insider
25562270	ReutersTech	Reuters Tech News
132336370	TrendsSingapore	Trendsmap Singapore
476055364	Singapore_CM	CreativeMornings/SG
819800	CNETNews	CNET News
14372486	engadget	Engadget
7144422	lifehacker	Lifehacker
275686563	verge	The Verge
2890961	Gizmodo	Gizmodo
16661296	dwell	dwell
22009731	DesignMuseum	Design Museum
17636894	99u	99U
21661279	CreativeReview	Creative Review
9313022	Behance	Behance
15446126	designmilk	Design Milk
14112296	designtaxi	TAXI
524396430	Upworthy	Upworthy
376267732	vocativ	Vocativ
20392964	eamesd	eames demetrios
76209337	wwfsg	WWF-Singapore
23299429	VisitSingapore	VisitSingapore
3198041813	mashableasia	Mashable Asia
972651	mashable	Mashable
50393960	BillGates	Bill Gates
20957496	JayHerratti	Jay Herratti
1443896906	Sketch_Post	Sketch Post
16707611	davelimtm	Dave Lim TM
243968939	ArtSciMuseum	ArtScience Museum
191701740	natmuseum_sg	National Museum
73289492	SgArtMuseum	Singapore Art Museum
14144627	kstoetzel	Kelly Stoetzel
691353	Joi	Joi Ito
2679743562	HowWeGetToNext	How We Get To Next
587082979	imagination	Imagination.org
1078400210	trendwatchingAP	TrendWatching APAC
8453452	GuyKawasaki	Guy Kawasaki
19407053	Entrepreneur	Entrepreneur
25053299	FortuneMagazine	Fortune
382253381	IDEOorg	IDEO.org
7040932	Zappos	Zappos.com
125644689	OpenIDEO	OpenIDEO
24775410	sequoia	Sequoia
185808487	kpcb	Kleiner Perkins
589570858	TomKelley74	Tom Kelley
41003633	GreylockVC	Greylock Partners
113130846	ycombinator	Y Combinator
